OTU ID,LMCABG2,LMCABG3,LMFOBG2,LMFOBG3,PFCABG1,PFCABG2,PFCABG3,PFFOBG1,PFFOBG2,PFFOBG3,SLCABG1,SLCABG2,SLCABG3,SLFOBG1,SLFOBG2,SLFOBG3
OTU10,0,0,51,0,67,40,10,0,0,21,0,20,0,0,49,0
OTU1000,0,0,13,43,0,0,0,46,49,20,0,0,0,0,0,0
OTU1001,0,0,0,0,122,208,48,33,32,125,0,0,0,0,0,0
OTU1002,0,0,22,40,0,0,0,36,74,80,0,0,0,0,0,0
OTU1003,0,0,0,0,67,63,76,0,0,3,0,0,0,0,0,0
OTU1004,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0
OTU1005,0,0,0,0,202,185,419,0,0,0,0,0,0,0,0,0
OTU1006,0,0,15,5,0,0,0,1,25,9,0,0,0,5,0,0
OTU1007,122,78,3,0,140,170,75,0,5,0,58,0,74,13,0,91
OTU1008,0,0,0,0,0,0,13,40,59,24,0,0,0,0,0,0
OTU1009,0,12,98,163,105,68,104,55,26,65,0,0,0,0,0,20
OTU101,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1010,36,188,124,91,92,0,42,18,27,34,24,19,2,46,0,0
OTU10104,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10105,26,151,2,8,0,12,1,0,0,0,66,3,9,11,0,0
OTU10106,148,317,0,0,0,0,0,0,0,2,1,0,0,0,0,0
OTU10109,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1011,0,0,1,0,0,0,0,34,23,4,0,0,0,0,0,0
OTU10112,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10114,3,23,35,29,44,21,64,23,52,23,97,65,108,132,374,184
OTU10127,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
OTU10136,0,0,0,0,39,15,27,2,0,0,3,0,0,0,1,0
OTU10138,0,0,99,283,0,0,0,28,21,37,0,0,0,0,0,0
OTU1014,0,0,0,0,0,0,0,0,0,0,24,102,8,46,23,0
OTU10146,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
OTU10147,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
OTU10149,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
OTU10150,47,31,1,2,24,25,34,0,2,0,32,59,38,3,11,4
OTU10153,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
OTU10156,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
OTU10158,0,0,0,0,0,0,0,8,11,5,0,0,0,0,0,0
OTU1016,39,118,0,14,168,79,81,0,3,6,95,20,2,4,0,0
OTU1017,0,10,2,0,4,0,7,0,3,0,32,56,183,8,0,0
OTU10170,0,0,0,0,0,0,0,4,9,2,0,0,0,0,0,0
OTU10171,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
OTU10173,0,0,0,0,0,0,0,16,23,0,0,0,0,0,0,0
OTU10177,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
OTU1018,0,0,0,0,8,13,0,0,0,0,21,0,0,0,0,0
OTU10189,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
