OTU ID,LMCABG_sum,LMCABG_mean,LMCABG_non_zero,LMFOBG_sum,LMFOBG_mean,LMFOBG_non_zero,PFCABG_sum,PFCABG_mean,PFCABG_non_zero,PFFOBG_sum,PFFOBG_mean,PFFOBG_non_zero,SLCABG_sum,SLCABG_mean,SLCABG_non_zero,SLFOBG_sum,SLFOBG_mean,SLFOBG_non_zero
OTU10,0,0.0,0,51,25.5,1,117,39.0,3,21,7.0,1,20,6.666666666666667,1,49,16.333333333333332,1
OTU1000,0,0.0,0,56,28.0,2,0,0.0,0,115,38.333333333333336,3,0,0.0,0,0,0.0,0
OTU1001,0,0.0,0,0,0.0,0,378,126.0,3,190,63.333333333333336,3,0,0.0,0,0,0.0,0
OTU1002,0,0.0,0,62,31.0,2,0,0.0,0,190,63.333333333333336,3,0,0.0,0,0,0.0,0
OTU1003,0,0.0,0,0,0.0,0,206,68.66666666666667,3,3,1.0,1,0,0.0,0,0,0.0,0
OTU1004,0,0.0,0,0,0.0,0,0,0.0,0,24,8.0,2,0,0.0,0,0,0.0,0
OTU1005,0,0.0,0,0,0.0,0,806,268.6666666666667,3,0,0.0,0,0,0.0,0,0,0.0,0
OTU1006,0,0.0,0,20,10.0,2,0,0.0,0,35,11.666666666666666,3,0,0.0,0,5,1.6666666666666667,1
OTU1007,200,100.0,2,3,1.5,1,385,128.33333333333334,3,5,1.6666666666666667,1,132,44.0,2,104,34.666666666666664,2
OTU1008,0,0.0,0,0,0.0,0,13,4.333333333333333,1,123,41.0,3,0,0.0,0,0,0.0,0
OTU1009,12,6.0,1,261,130.5,2,277,92.33333333333333,3,146,48.666666666666664,3,0,0.0,0,20,6.666666666666667,1
OTU101,37,18.5,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
OTU1010,224,112.0,2,215,107.5,2,134,44.666666666666664,2,79,26.333333333333332,3,45,15.0,3,46,15.333333333333334,1
OTU10104,40,20.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
OTU10105,177,88.5,2,10,5.0,2,13,4.333333333333333,2,0,0.0,0,78,26.0,3,11,3.6666666666666665,1
OTU10106,465,232.5,2,0,0.0,0,0,0.0,0,2,0.6666666666666666,1,1,0.3333333333333333,1,0,0.0,0
OTU10109,0,0.0,0,9,4.5,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
OTU1011,0,0.0,0,1,0.5,1,0,0.0,0,61,20.333333333333332,3,0,0.0,0,0,0.0,0
OTU10112,0,0.0,0,4,2.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
OTU10114,26,13.0,2,64,32.0,2,129,43.0,3,98,32.666666666666664,3,270,90.0,3,690,230.0,3
OTU10127,0,0.0,0,6,3.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
OTU10136,0,0.0,0,0,0.0,0,81,27.0,3,2,0.6666666666666666,1,3,1.0,1,1,0.3333333333333333,1
OTU10138,0,0.0,0,382,191.0,2,0,0.0,0,86,28.666666666666668,3,0,0.0,0,0,0.0,0
OTU1014,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,134,44.666666666666664,3,69,23.0,2
OTU10146,0,0.0,0,0,0.0,0,3,1.0,1,0,0.0,0,0,0.0,0,0,0.0,0
OTU10147,0,0.0,0,0,0.0,0,15,5.0,1,0,0.0,0,0,0.0,0,0,0.0,0
OTU10149,0,0.0,0,0,0.0,0,5,1.6666666666666667,1,0,0.0,0,0,0.0,0,0,0.0,0
OTU10150,78,39.0,2,3,1.5,2,83,27.666666666666668,3,2,0.6666666666666666,1,129,43.0,3,18,6.0,3
OTU10153,0,0.0,0,0,0.0,0,5,1.6666666666666667,2,0,0.0,0,0,0.0,0,0,0.0,0
OTU10156,0,0.0,0,0,0.0,0,4,1.3333333333333333,1,0,0.0,0,0,0.0,0,0,0.0,0
OTU10158,0,0.0,0,0,0.0,0,0,0.0,0,24,8.0,3,0,0.0,0,0,0.0,0
OTU1016,157,78.5,2,14,7.0,1,328,109.33333333333333,3,9,3.0,2,117,39.0,3,4,1.3333333333333333,1
OTU1017,10,5.0,1,2,1.0,1,11,3.6666666666666665,2,3,1.0,1,271,90.33333333333333,3,8,2.6666666666666665,1
OTU10170,0,0.0,0,0,0.0,0,0,0.0,0,15,5.0,3,0,0.0,0,0,0.0,0
OTU10171,0,0.0,0,0,0.0,0,0,0.0,0,5,1.6666666666666667,2,0,0.0,0,0,0.0,0
OTU10173,0,0.0,0,0,0.0,0,0,0.0,0,39,13.0,2,0,0.0,0,0,0.0,0
OTU10177,0,0.0,0,0,0.0,0,0,0.0,0,6,2.0,1,0,0.0,0,0,0.0,0
OTU1018,0,0.0,0,0,0.0,0,21,7.0,2,0,0.0,0,21,7.0,1,0,0.0,0
OTU10189,0,0.0,0,0,0.0,0,0,0.0,0,5,1.6666666666666667,1,0,0.0,0,0,0.0,0
