OTU ID,ZLMCA,ZLMHP,ZLMPM,ZLMSS,ZLMVL,ZPFCA,ZPFMV,ZPFPM,ZPFRR,ZPFSS,ZPFVL,ZSLCA,ZSLHP,ZSLPB,ZSLPM,ZSLRA,ZSLSS,ZSLVL
OTU10,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0
OTU1000,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
OTU10000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
OTU10005,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
OTU10007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU10008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU10009,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
OTU1001,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
OTU10011,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
OTU10013,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU10019,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
OTU1002,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
OTU10025,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
OTU1003,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0
OTU10036,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
OTU10037,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
OTU1004,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
OTU10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
OTU1005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU10058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU1006,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
OTU1007,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0
OTU10071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU10075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU10077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU1008,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0
OTU1009,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
OTU10091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU10098,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OTU10104,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0
OTU10105,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0
OTU10106,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0
OTU1011,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
OTU10114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OTU10125,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
OTU10127,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
OTU10128,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU1013,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0
OTU10131,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
OTU10135,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10136,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
OTU10138,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0
OTU1014,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0
OTU1015,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
OTU10150,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0
OTU10153,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
OTU10155,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU10158,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
OTU1016,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1
OTU1017,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0
OTU10170,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU10171,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
OTU10173,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU1018,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0
OTU10185,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU10186,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU10188,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
OTU10189,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
OTU1019,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
