OTU ID,LMCA_sum,LMCA_mean,LMCA_non_zero,LMHP_sum,LMHP_mean,LMHP_non_zero,LMPM_sum,LMPM_mean,LMPM_non_zero,LMSS_sum,LMSS_mean,LMSS_non_zero,LMVL_sum,LMVL_mean,LMVL_non_zero,PFCA_sum,PFCA_mean,PFCA_non_zero,PFMV_sum,PFMV_mean,PFMV_non_zero,PFPM_sum,PFPM_mean,PFPM_non_zero,PFRR_sum,PFRR_mean,PFRR_non_zero,PFSS_sum,PFSS_mean,PFSS_non_zero,PFVL_sum,PFVL_mean,PFVL_non_zero,SLCA_sum,SLCA_mean,SLCA_non_zero,SLHP_sum,SLHP_mean,SLHP_non_zero,SLPB_sum,SLPB_mean,SLPB_non_zero,SLPM_sum,SLPM_mean,SLPM_non_zero,SLRA_sum,SLRA_mean,SLRA_non_zero,SLSS_sum,SLSS_mean,SLSS_non_zero,SLVL_sum,SLVL_mean,SLVL_non_zero
OTU10,50,1.8518518518518519,4,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,48,1.7777777777777777,3,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,0.25,1,0,0.0,0,103,7.923076923076923,1,0,0.0,0,1,0.07692307692307693,1,0,0.0,0,0,0.0,0
OTU1000,0,0.0,0,0,0.0,0,1,0.07142857142857142,1,3,0.2,2,0,0.0,0,0,0.0,0,0,0.0,0,3,0.1875,2,0,0.0,0,0,0.0,0,1,0.06666666666666667,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
OTU10005,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.07692307692307693,1,0,0.0,0,0,0.0,0
OTU1002,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0625,1,3,0.23076923076923078,2,2,0.15384615384615385,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
OTU1003,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,0.15384615384615385,1,0,0.0,0,0,0.0,0
OTU1007,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,0.2857142857142857,1,5,0.35714285714285715,3,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
OTU1009,0,0.0,0,2,0.16666666666666666,2,2,0.14285714285714285,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.07692307692307693,1,3,0.1875,1,0,0.0,0,0,0.0,0,0,0.0,0
OTU1010,0,0.0,0,0,0.0,0,1,0.07142857142857142,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,0.25,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
OTU10106,286,10.592592592592593,22,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,0.1111111111111111,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,0.17857142857142858,4,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
OTU1011,0,0.0,0,0,0.0,0,0,0.0,0,4,0.26666666666666666,2,3,0.2727272727272727,1,0,0.0,0,3,0.2727272727272727,2,1,0.0625,1,16,1.2307692307692308,5,2,0.15384615384615385,2,3,0.2,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
